37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
23:40:00.0 (413490)|USER_INFO|[EXTERNAL]|00550000005cg71|bfffollow@jr.te|Eastern Standard Time|GMT-04:00
23:40:00.0 (459672)|EXECUTION_STARTED
23:40:00.0 (466378)|CODE_UNIT_STARTED|[EXTERNAL]|aura
23:40:00.0 (904262)|HEAP_ALLOCATE|[72]|Bytes:3
23:40:00.0 (956873)|HEAP_ALLOCATE|[77]|Bytes:152
23:40:00.0 (974602)|HEAP_ALLOCATE|[342]|Bytes:408
23:40:00.0 (992630)|HEAP_ALLOCATE|[355]|Bytes:408
23:40:00.0 (1008768)|HEAP_ALLOCATE|[467]|Bytes:48
23:40:00.0 (1039788)|HEAP_ALLOCATE|[139]|Bytes:6
23:40:00.0 (1067103)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:94
23:40:00.0 (1087055)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:94
23:40:00.0 (2092041)|CODE_UNIT_STARTED|[EXTERNAL]|01p50000002CIEm|ETLC_ApexBridge_Controller.execute
23:40:00.0 (2783796)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
23:40:00.0 (2790985)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
23:40:00.0 (2808705)|METHOD_ENTRY|[1]|01p50000002CIEm|ETLC_ApexBridge_Controller.ETLC_ApexBridge_Controller()
23:40:00.0 (2814359)|STATEMENT_EXECUTE|[1]
23:40:00.0 (2820090)|STATEMENT_EXECUTE|[1]
23:40:00.0 (2829043)|METHOD_EXIT|[1]|ETLC_ApexBridge_Controller
23:40:00.0 (2834445)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:94
23:40:00.0 (2844873)|SYSTEM_MODE_ENTER|false
23:40:00.0 (2861532)|VARIABLE_SCOPE_BEGIN|[3]|dataJson|String|false|false
23:40:00.0 (2903364)|VARIABLE_ASSIGNMENT|[3]|dataJson|"{\"operation\":\"BFFFol (74 more) ..."
23:40:00.0 (2916758)|STATEMENT_EXECUTE|[3]
23:40:00.0 (2918347)|STATEMENT_EXECUTE|[4]
23:40:00.0 (5246986)|VARIABLE_SCOPE_BEGIN|[4]|data|ETLC_ApexBridge_Data|true|false
23:40:00.0 (5267285)|VARIABLE_ASSIGNMENT|[4]|data|null|
23:40:00.0 (5270102)|STATEMENT_EXECUTE|[5]
23:40:00.0 (5271399)|STATEMENT_EXECUTE|[5]
23:40:00.0 (5272312)|STATEMENT_EXECUTE|[6]
23:40:00.0 (5288352)|HEAP_ALLOCATE|[6]|Bytes:11
23:40:00.0 (5296374)|HEAP_ALLOCATE|[6]|Bytes:248
23:40:00.0 (5299454)|HEAP_ALLOCATE|[6]|Bytes:39
23:40:00.0 (5334536)|METHOD_ENTRY|[2]|01p50000002CIEo|ETLC_ApexBridge_Data.ETLC_ApexBridge_Data()
23:40:00.0 (5338113)|STATEMENT_EXECUTE|[2]
23:40:00.0 (5341999)|STATEMENT_EXECUTE|[2]
23:40:00.0 (5347859)|METHOD_EXIT|[2]|ETLC_ApexBridge_Data
23:40:00.0 (5383546)|METHOD_ENTRY|[6]|01p50000002CIEo|ETLC_ApexBridge_Data.fromJSON(String)
23:40:00.0 (5410012)|VARIABLE_SCOPE_BEGIN|[60]|strJson|String|false|false
23:40:00.0 (5420149)|VARIABLE_ASSIGNMENT|[60]|strJson|"{\"operation\":\"BFFFol (74 more) ..."
23:40:00.0 (5424317)|STATEMENT_EXECUTE|[60]
23:40:00.0 (5425621)|STATEMENT_EXECUTE|[61]
23:40:00.0 (5434059)|HEAP_ALLOCATE|[61]|Bytes:20
23:40:00.0 (5458962)|HEAP_ALLOCATE|[50]|Bytes:5
23:40:00.0 (5484444)|HEAP_ALLOCATE|[56]|Bytes:5
23:40:00.0 (5493833)|HEAP_ALLOCATE|[64]|Bytes:7
23:40:00.0 (5600713)|HEAP_ALLOCATE|[61]|Bytes:24
23:40:00.0 (5614986)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
23:40:00.0 (5618318)|STATEMENT_EXECUTE|[1]
23:40:00.0 (5626527)|SYSTEM_METHOD_EXIT|[1]|Type
23:40:00.0 (5634240)|HEAP_ALLOCATE|[61]|Bytes:8
23:40:00.0 (5655406)|HEAP_ALLOCATE|[61]|Bytes:8
23:40:00.0 (5660366)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
23:40:00.0 (5696898)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3e1649ba
23:40:00.0 (5701396)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
23:40:00.0 (5880990)|VARIABLE_ASSIGNMENT|[4]|apextype|"ETLC_ApexBridge_Data"|0x50e6d6d7
23:40:00.0 (5947579)|HEAP_ALLOCATE|[61]|Bytes:8
23:40:00.0 (5985978)|HEAP_ALLOCATE|[61]|Bytes:24
23:40:00.0 (5999767)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
23:40:00.0 (6002563)|STATEMENT_EXECUTE|[1]
23:40:00.0 (6010407)|SYSTEM_METHOD_EXIT|[1]|JSON
23:40:00.0 (6022856)|METHOD_ENTRY|[61]||System.JSON.deserializeStrict(String, System.Type)
23:40:00.0 (6653698)|METHOD_EXIT|[61]||System.JSON.deserializeStrict(String, System.Type)
23:40:00.0 (6664351)|METHOD_EXIT|[6]|01p50000002CIEo|ETLC_ApexBridge_Data.fromJSON(String)
23:40:00.0 (6727486)|VARIABLE_ASSIGNMENT|[6]|data|{"debug":false,"input":"{\"mode\":\"fetchFollow (9 more) ...","operation":"BFFFollow_Controller"}|0x1e01258e
23:40:00.0 (6732658)|STATEMENT_EXECUTE|[7]
23:40:00.0 (6742272)|HEAP_ALLOCATE|[7]|Bytes:6
23:40:00.0 (6817665)|HEAP_ALLOCATE|[7]|Bytes:178
23:40:00.0 (6840264)|HEAP_ALLOCATE|[7]|Bytes:184
23:40:00.0 (6862201)|USER_DEBUG|[7]|DEBUG|data::ETLC_ApexBridge_Data:[debug=false, input={"mode":"fetchFollowedUsers"}, isSuccess=null, messages=null, operation=BFFFollow_Controller, output=null, outputFlag=null, records=null]
23:40:00.0 (6868411)|STATEMENT_EXECUTE|[8]
23:40:00.0 (6924479)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"debug":false,"input":"{\"mode\":\"fetchFollow (9 more) ...","operation":"BFFFollow_Controller"}|0x1e01258e
23:40:00.0 (6945890)|METHOD_ENTRY|[8]||System.Type.forName(String)
23:40:00.0 (9092417)|METHOD_EXIT|[8]||System.Type.forName(String)
23:40:00.0 (9112122)|METHOD_ENTRY|[8]||System.Type.newInstance()
23:40:00.0 (10547904)|STATEMENT_EXECUTE|[1]
23:40:00.0 (10561779)|HEAP_ALLOCATE|[33]|Bytes:5
23:40:00.0 (10577927)|METHOD_EXIT|[1]|BFFFollow_Controller
23:40:00.0 (10592481)|HEAP_ALLOCATE|[33]|Bytes:4
23:40:00.0 (10601850)|VARIABLE_SCOPE_BEGIN|[1]|this|BFFFollow_Controller|true|false
23:40:00.0 (10621522)|VARIABLE_ASSIGNMENT|[1]|this|{}|0xf180eef
23:40:00.0 (10630064)|HEAP_ALLOCATE|[33]|Bytes:5
23:40:00.0 (10638152)|HEAP_ALLOCATE|[33]|Bytes:11
23:40:00.0 (10657264)|METHOD_ENTRY|[1]|01p50000002CIEj|ETLC_ApexBridge_Abstract.ETLC_ApexBridge_Abstract()
23:40:00.0 (10660733)|STATEMENT_EXECUTE|[1]
23:40:00.0 (10664247)|STATEMENT_EXECUTE|[1]
23:40:00.0 (10669763)|METHOD_EXIT|[1]|ETLC_ApexBridge_Abstract
23:40:00.0 (10677283)|CONSTRUCTOR_ENTRY|[EXTERNAL]|01p50000002CIEj|<init>()
23:40:00.0 (10693335)|VARIABLE_SCOPE_BEGIN|[1]|this|ETLC_ApexBridge_Abstract|true|false
23:40:00.0 (10712105)|VARIABLE_ASSIGNMENT|[1]|this|{}|0xf180eef
23:40:00.0 (10727290)|STATEMENT_EXECUTE|[1]
23:40:00.0 (10731460)|CONSTRUCTOR_EXIT|[EXTERNAL]|01p50000002CIEj|<init>()
23:40:00.0 (10736710)|STATEMENT_EXECUTE|[1]
23:40:00.0 (10741601)|HEAP_ALLOCATE|[33]|Bytes:5
23:40:00.0 (10756757)|METHOD_EXIT|[8]||System.Type.newInstance()
23:40:00.0 (10765101)|VARIABLE_SCOPE_BEGIN|[8]|executor|ETLC_ApexBridge_Abstract|true|false
23:40:00.0 (10780724)|VARIABLE_ASSIGNMENT|[8]|executor|{}|0xf180eef
23:40:00.0 (10783474)|STATEMENT_EXECUTE|[9]
23:40:00.0 (10827318)|METHOD_ENTRY|[9]|01p50000002D8iw|BFFFollow_Controller.process(ETLC_ApexBridge_Data)
23:40:00.0 (10851879)|VARIABLE_SCOPE_BEGIN|[3]|this|BFFFollow_Controller|true|false
