37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
21:25:04.0 (118805)|USER_INFO|[EXTERNAL]|00550000005cg71|bfffollow@jr.te|Eastern Standard Time|GMT-04:00
21:25:04.0 (158424)|EXECUTION_STARTED
21:25:04.0 (162629)|CODE_UNIT_STARTED|[EXTERNAL]|aura
21:25:04.0 (495258)|HEAP_ALLOCATE|[72]|Bytes:3
21:25:04.0 (535236)|HEAP_ALLOCATE|[77]|Bytes:152
21:25:04.0 (548756)|HEAP_ALLOCATE|[342]|Bytes:408
21:25:04.0 (564077)|HEAP_ALLOCATE|[355]|Bytes:408
21:25:04.0 (578046)|HEAP_ALLOCATE|[467]|Bytes:48
21:25:04.0 (605082)|HEAP_ALLOCATE|[139]|Bytes:6
21:25:04.0 (629775)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:93
21:25:04.0 (645568)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:93
21:25:04.0 (1928937)|CODE_UNIT_STARTED|[EXTERNAL]|01p50000002CIEm|ETLC_ApexBridge_Controller.execute
21:25:04.0 (2052150)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
21:25:04.0 (2058930)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
21:25:04.0 (2074835)|METHOD_ENTRY|[1]|01p50000002CIEm|ETLC_ApexBridge_Controller.ETLC_ApexBridge_Controller()
21:25:04.0 (2079041)|STATEMENT_EXECUTE|[1]
21:25:04.0 (2084545)|STATEMENT_EXECUTE|[1]
21:25:04.0 (2090622)|METHOD_EXIT|[1]|ETLC_ApexBridge_Controller
21:25:04.0 (2094929)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:93
21:25:04.0 (2103026)|SYSTEM_MODE_ENTER|false
21:25:04.0 (2112379)|VARIABLE_SCOPE_BEGIN|[3]|dataJson|String|false|false
21:25:04.0 (2150229)|VARIABLE_ASSIGNMENT|[3]|dataJson|"{\"operation\":\"BFFFol (73 more) ..."
21:25:04.0 (2161269)|STATEMENT_EXECUTE|[3]
21:25:04.0 (2162799)|STATEMENT_EXECUTE|[4]
21:25:04.0 (2262452)|VARIABLE_SCOPE_BEGIN|[4]|data|ETLC_ApexBridge_Data|true|false
21:25:04.0 (2274161)|VARIABLE_ASSIGNMENT|[4]|data|null|
21:25:04.0 (2276676)|STATEMENT_EXECUTE|[5]
21:25:04.0 (2277813)|STATEMENT_EXECUTE|[5]
21:25:04.0 (2278852)|STATEMENT_EXECUTE|[6]
21:25:04.0 (2296694)|HEAP_ALLOCATE|[6]|Bytes:11
21:25:04.0 (2305441)|HEAP_ALLOCATE|[6]|Bytes:248
21:25:04.0 (2308891)|HEAP_ALLOCATE|[6]|Bytes:39
21:25:04.0 (2339277)|METHOD_ENTRY|[2]|01p50000002CIEo|ETLC_ApexBridge_Data.ETLC_ApexBridge_Data()
21:25:04.0 (2342434)|STATEMENT_EXECUTE|[2]
21:25:04.0 (2345470)|STATEMENT_EXECUTE|[2]
21:25:04.0 (2350535)|METHOD_EXIT|[2]|ETLC_ApexBridge_Data
