37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
10:42:33.0 (565508)|USER_INFO|[EXTERNAL]|00550000005cg71|bfffollow@jr.te|Eastern Standard Time|GMT-04:00
10:42:33.0 (623034)|EXECUTION_STARTED
10:42:33.0 (633360)|CODE_UNIT_STARTED|[EXTERNAL]|aura
10:42:33.0 (1056811)|HEAP_ALLOCATE|[72]|Bytes:3
10:42:33.0 (1128113)|HEAP_ALLOCATE|[77]|Bytes:152
10:42:33.0 (1160178)|HEAP_ALLOCATE|[342]|Bytes:408
10:42:33.0 (1196339)|HEAP_ALLOCATE|[355]|Bytes:408
10:42:33.0 (1232277)|HEAP_ALLOCATE|[467]|Bytes:48
10:42:33.0 (1277461)|HEAP_ALLOCATE|[139]|Bytes:6
10:42:33.0 (1323699)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:93
10:42:33.0 (1346160)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:93
10:42:33.0 (2656615)|CODE_UNIT_STARTED|[EXTERNAL]|01p50000002CIEm|ETLC_ApexBridge_Controller.execute
10:42:33.0 (3511045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
10:42:33.0 (3522378)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:42:33.0 (3539342)|METHOD_ENTRY|[1]|01p50000002CIEm|ETLC_ApexBridge_Controller.ETLC_ApexBridge_Controller()
10:42:33.0 (3545375)|STATEMENT_EXECUTE|[1]
10:42:33.0 (3552265)|STATEMENT_EXECUTE|[1]
10:42:33.0 (3561727)|METHOD_EXIT|[1]|ETLC_ApexBridge_Controller
10:42:33.0 (3568627)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:93
10:42:33.0 (3587902)|SYSTEM_MODE_ENTER|false
10:42:33.0 (3602144)|VARIABLE_SCOPE_BEGIN|[3]|dataJson|String|false|false
10:42:33.0 (3660873)|VARIABLE_ASSIGNMENT|[3]|dataJson|"{\"operation\":\"BFFFol (73 more) ..."
10:42:33.0 (3679185)|STATEMENT_EXECUTE|[3]
10:42:33.0 (3682666)|STATEMENT_EXECUTE|[4]
10:42:33.0 (5893028)|VARIABLE_SCOPE_BEGIN|[4]|data|ETLC_ApexBridge_Data|true|false
10:42:33.0 (5909236)|VARIABLE_ASSIGNMENT|[4]|data|null|
10:42:33.0 (5913377)|STATEMENT_EXECUTE|[5]
10:42:33.0 (5915626)|STATEMENT_EXECUTE|[5]
10:42:33.0 (5917489)|STATEMENT_EXECUTE|[6]
10:42:33.0 (5938948)|HEAP_ALLOCATE|[6]|Bytes:11
10:42:33.0 (5947119)|HEAP_ALLOCATE|[6]|Bytes:248
10:42:33.0 (5950182)|HEAP_ALLOCATE|[6]|Bytes:39
10:42:33.0 (5988226)|METHOD_ENTRY|[2]|01p50000002CIEo|ETLC_ApexBridge_Data.ETLC_ApexBridge_Data()
10:42:33.0 (5991483)|STATEMENT_EXECUTE|[2]
10:42:33.0 (5996480)|STATEMENT_EXECUTE|[2]
10:42:33.0 (6001648)|METHOD_EXIT|[2]|ETLC_ApexBridge_Data
10:42:33.0 (6040923)|METHOD_ENTRY|[6]|01p50000002CIEo|ETLC_ApexBridge_Data.fromJSON(String)
10:42:33.0 (6070180)|VARIABLE_SCOPE_BEGIN|[60]|strJson|String|false|false
10:42:33.0 (6080845)|VARIABLE_ASSIGNMENT|[60]|strJson|"{\"operation\":\"BFFFol (73 more) ..."
10:42:33.0 (6085305)|STATEMENT_EXECUTE|[60]
10:42:33.0 (6086735)|STATEMENT_EXECUTE|[61]
10:42:33.0 (6095622)|HEAP_ALLOCATE|[61]|Bytes:20
10:42:33.0 (6117822)|HEAP_ALLOCATE|[50]|Bytes:5
10:42:33.0 (6141191)|HEAP_ALLOCATE|[56]|Bytes:5
10:42:33.0 (6149586)|HEAP_ALLOCATE|[64]|Bytes:7
10:42:33.0 (6245914)|HEAP_ALLOCATE|[61]|Bytes:24
10:42:33.0 (6257549)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
10:42:33.0 (6260180)|STATEMENT_EXECUTE|[1]
10:42:33.0 (6269306)|SYSTEM_METHOD_EXIT|[1]|Type
10:42:33.0 (6274729)|HEAP_ALLOCATE|[61]|Bytes:8
10:42:33.0 (6300445)|HEAP_ALLOCATE|[61]|Bytes:8
10:42:33.0 (6305620)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
10:42:33.0 (6371554)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x743eee5b
10:42:33.0 (6376473)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
10:42:33.0 (6507790)|VARIABLE_ASSIGNMENT|[4]|apextype|"ETLC_ApexBridge_Data"|0x192e4ac8
10:42:33.0 (6574153)|HEAP_ALLOCATE|[61]|Bytes:8
10:42:33.0 (6613185)|HEAP_ALLOCATE|[61]|Bytes:24
10:42:33.0 (6623582)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
10:42:33.0 (6625682)|STATEMENT_EXECUTE|[1]
10:42:33.0 (6631250)|SYSTEM_METHOD_EXIT|[1]|JSON
10:42:33.0 (6646800)|METHOD_ENTRY|[61]||System.JSON.deserializeStrict(String, System.Type)
10:42:33.0 (7264606)|METHOD_EXIT|[61]||System.JSON.deserializeStrict(String, System.Type)
10:42:33.0 (7276805)|METHOD_EXIT|[6]|01p50000002CIEo|ETLC_ApexBridge_Data.fromJSON(String)
10:42:33.0 (7337561)|VARIABLE_ASSIGNMENT|[6]|data|{"debug":true,"input":"{\"mode\":\"fetchFollow (9 more) ...","operation":"BFFFollow_Controller"}|0x90e1106
10:42:33.0 (7343069)|STATEMENT_EXECUTE|[7]
10:42:33.0 (7352717)|HEAP_ALLOCATE|[7]|Bytes:6
10:42:33.0 (7423911)|HEAP_ALLOCATE|[7]|Bytes:177
10:42:33.0 (7443956)|HEAP_ALLOCATE|[7]|Bytes:183
10:42:33.0 (7467447)|USER_DEBUG|[7]|DEBUG|data::ETLC_ApexBridge_Data:[debug=true, input={"mode":"fetchFollowedUsers"}, isSuccess=null, messages=null, operation=BFFFollow_Controller, output=null, outputFlag=null, records=null]
10:42:33.0 (7475802)|STATEMENT_EXECUTE|[8]
10:42:33.0 (7541474)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"debug":true,"input":"{\"mode\":\"fetchFollow (9 more) ...","operation":"BFFFollow_Controller"}|0x90e1106
10:42:33.0 (7562637)|METHOD_ENTRY|[8]||System.Type.forName(String)
10:42:33.0 (10271482)|METHOD_EXIT|[8]||System.Type.forName(String)
10:42:33.0 (10285026)|METHOD_ENTRY|[8]||System.Type.newInstance()
10:42:33.0 (11671904)|STATEMENT_EXECUTE|[1]
10:42:33.0 (11684397)|HEAP_ALLOCATE|[33]|Bytes:5
10:42:33.0 (11697766)|METHOD_EXIT|[1]|BFFFollow_Controller
10:42:33.0 (11713195)|HEAP_ALLOCATE|[33]|Bytes:4
10:42:33.0 (11723019)|VARIABLE_SCOPE_BEGIN|[1]|this|BFFFollow_Controller|true|false
10:42:33.0 (11743606)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3b47e566
10:42:33.0 (11752206)|HEAP_ALLOCATE|[33]|Bytes:5
10:42:33.0 (11760558)|HEAP_ALLOCATE|[33]|Bytes:11
10:42:33.0 (11777608)|METHOD_ENTRY|[1]|01p50000002CIEj|ETLC_ApexBridge_Abstract.ETLC_ApexBridge_Abstract()
10:42:33.0 (11780643)|STATEMENT_EXECUTE|[1]
10:42:33.0 (11784247)|STATEMENT_EXECUTE|[1]
10:42:33.0 (11789022)|METHOD_EXIT|[1]|ETLC_ApexBridge_Abstract
10:42:33.0 (11798376)|CONSTRUCTOR_ENTRY|[EXTERNAL]|01p50000002CIEj|<init>()
10:42:33.0 (11819159)|VARIABLE_SCOPE_BEGIN|[1]|this|ETLC_ApexBridge_Abstract|true|false
10:42:33.0 (11834865)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x3b47e566
10:42:33.0 (11849176)|STATEMENT_EXECUTE|[1]
10:42:33.0 (11855438)|CONSTRUCTOR_EXIT|[EXTERNAL]|01p50000002CIEj|<init>()
10:42:33.0 (11861482)|STATEMENT_EXECUTE|[1]
10:42:33.0 (11866066)|HEAP_ALLOCATE|[33]|Bytes:5
10:42:33.0 (11883772)|METHOD_EXIT|[8]||System.Type.newInstance()
10:42:33.0 (11891917)|VARIABLE_SCOPE_BEGIN|[8]|executor|ETLC_ApexBridge_Abstract|true|false
10:42:33.0 (11909720)|VARIABLE_ASSIGNMENT|[8]|executor|{}|0x3b47e566
10:42:33.0 (11914506)|STATEMENT_EXECUTE|[9]
10:42:33.0 (11979857)|METHOD_ENTRY|[9]|01p50000002D8iw|BFFFollow_Controller.process(ETLC_ApexBridge_Data)
10:42:33.0 (12016165)|VARIABLE_SCOPE_BEGIN|[3]|this|BFFFollow_Controller|true|false
10:42:33.0 (12040431)|VARIABLE_ASSIGNMENT|[3]|this|{}|0x3b47e566
10:42:33.0 (12048357)|VARIABLE_SCOPE_BEGIN|[3]|data|ETLC_ApexBridge_Data|true|false
10:42:33.0 (12090435)|VARIABLE_ASSIGNMENT|[3]|data|{"debug":true,"input":"{\"mode\":\"fetchFollow (9 more) ...","operation":"BFFFollow_Controller"}|0x90e1106
10:42:33.0 (12104319)|HEAP_ALLOCATE|[4]|Bytes:5
10:42:33.0 (12110961)|STATEMENT_EXECUTE|[3]
10:42:33.0 (12113460)|STATEMENT_EXECUTE|[4]
10:42:33.0 (12231260)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"debug":true,"input":"{\"mode\":\"fetchFollow (9 more) ...","operation":"BFFFollow_Controller"}|0x90e1106
10:42:33.0 (12289877)|VARIABLE_ASSIGNMENT|[4]|BFFFollow_Controller.debugFlag|true
10:42:33.0 (12352358)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"debug":true,"input":"{\"mode\":\"fetchFollow (9 more) ...","operation":"BFFFollow_Controller"}|0x90e1106
10:42:33.0 (12371387)|STATEMENT_EXECUTE|[5]
10:42:33.0 (12384232)|HEAP_ALLOCATE|[5]|Bytes:12
10:42:33.0 (12439336)|HEAP_ALLOCATE|[5]|Bytes:177
10:42:33.0 (12465019)|HEAP_ALLOCATE|[5]|Bytes:189
10:42:33.0 (12499012)|USER_DEBUG|[5]|DEBUG|data BEFORE:ETLC_ApexBridge_Data:[debug=true, input={"mode":"fetchFollowedUsers"}, isSuccess=null, messages=null, operation=BFFFollow_Controller, output=null, outputFlag=null, records=null]
10:42:33.0 (12512719)|STATEMENT_EXECUTE|[7]
